,text,true_label,pred_label,true_label_name,pred_label_name,error_type
186,"To determine if the addition of NE to usual preoperative education would result in superior outcomes with regard to pain , function , surgical experience , and health care utilization postsurgery .",tensor(0),3,background,objective,background → objective
187,Prophylactic use of LMWH is safe and convenient .,tensor(4),2,results,methods,results → methods
188,Postprandial insulin and triglyceride responses were significantly lower at the end of the intervention in the whole-grain group compared to the control group ( p = @ and p = @ ; respectively ) whereas there was no change in postprandial response of glucose and other parameters evaluated .,tensor(4),2,results,methods,results → methods
189,"Secondary outcomes included pain from these ulcers ( measured on a @-mm visual-analogue scale , with higher scores indicating worse pain ) , the number of genital ulcers , overall disease activity , and quality of life .",tensor(3),0,objective,background,objective → background
190,"Apremilast was effective in treating oral ulcers , which are the cardinal manifestation of Behet 's syndrome .",tensor(1),2,conclusions,methods,conclusions → methods
191,"Leg compression is considered basic treatment for superficial vein thrombosis ( SVT ) , although scientific proof for its efficacy is lacking .",tensor(4),2,results,methods,results → methods
192,"Clinical symptoms and QoL significantly improved from baseline to day @ in both groups ( p < @ for VAS , Lowenberg test , thrombus length , and erythema ; p < @ for QoL ) , and consumption of analgesics and D-dimer significantly decreased ( p < @ ) .",tensor(3),1,objective,conclusions,objective → conclusions
193,All data were transferred to SPSS software .,tensor(4),2,results,methods,results → methods
194,There were no demographic differences between groups .,tensor(1),4,conclusions,results,conclusions → results
195,"No feet developed wound complications in minimally invasive group , but incision complications occurred in @ feet in routine group .",tensor(2),4,methods,results,methods → results
196,We aim to compare citrate @ % catheter lock solution versus heparin in terms of event-free survival of the first non-tunneled hemodialysis catheter inserted in ICU patients with AKI requiring RRT .,tensor(0),1,background,conclusions,background → conclusions
197,"The VERROU-REA study is a randomized , prospective , multicenter , double-blind , parallel-group , controlled superiority study carried out in the medical , surgical and nephrological ICUs of two large university hospitals in eastern France .",tensor(3),2,objective,methods,objective → methods
198,"The research control group consisted of @ patients , the analgesia group consisted of @ , and the heat patch group consisted of @ .",tensor(3),0,objective,background,objective → background
199,"In a @-month , multicenter randomized , double-blind , placebo-controlled trial , CADASIL patients aged @ to @ years were randomly assigned to receive placebo or sapropterin @ to @ mg BID .",tensor(1),4,conclusions,results,conclusions → results
200,"Reactive hyperemia index by peripheral arterial tonometry increased after @ months in @ % of patients on sapropterin and in @ % on placebo ; however , after adjustment for age , sex , and clinical characteristics , improvement was not associated with treatment arm .",tensor(1),0,conclusions,background,conclusions → background
201,"The proportion of patients with adverse events was similar on sapropterin and on placebo ( @ % versus @ % ) ; serious adverse events occurred in @ % versus @ % , respectively .",tensor(1),0,conclusions,background,conclusions → background
202,"Sapropterin was safe and well-tolerated at the average dose of @ mg/kg/day , but did not affect endothelium-dependent vasodilation in CADASIL patients .",tensor(1),4,conclusions,results,conclusions → results
203,"There were no significant differences by intervention group in targeted risks , the prevalence of past-month or past-year substance use , or past-year delinquency or violence .",tensor(4),1,results,conclusions,results → conclusions
204,"Even though LC for acute and gangrenous cholecystitis is technically demanding , in experienced hands it is safe and effective .",tensor(3),0,objective,background,objective → background
205,"In alcohol dependent patients , the treatmentcommitment strength interaction was significant ( p = @ ) ; patients with low commitment strength had better outcomes in MI+H ealthCall than in MI-only ( lower mean drinks per drinking day ; @ and @ drinks , respectively ) .",tensor(3),0,objective,background,objective → background
206,Replication is warranted .,tensor(1),4,conclusions,results,conclusions → results
207,A total of @ students of @ Dutch secondary schools .,tensor(0),1,background,conclusions,background → conclusions
208,"Secondary objectives are to evaluate the effect of preoperative inspiratory muscle training on length of hospital stay , duration of mechanical ventilation , incidence of other postoperative ( pulmonary ) complications , quality of life , and on postoperative respiratory muscle function and lung function .",tensor(2),0,methods,background,methods → background
209,We conducted a prospective randomly assigned study from April @ to February @ at Asan Medical Center .,tensor(3),0,objective,background,objective → background
210,Participants were randomly assigned to consume either the control ( n = @ ) or the DASH diet ( n = @ ) for @ weeks .,tensor(2),0,methods,background,methods → background
211,"Up to now only a few studies have investigated these influences , and still less has been attempted to remove/reduce these influences .",tensor(4),1,results,conclusions,results → conclusions
212,"We introduce the use of three different signal processing approaches ( spatial filtering , a common average reference ( CAR ) method ; independent component analysis ( ICA ) ; and transfer function ( TF ) models ) to reduce the influence of respiratory and blood pressure ( BP ) rhythms on the hemodynamic responses .",tensor(4),2,results,methods,results → methods
213,Six months after the onset of therapy practically all patients reached the target AD level ( @ % in group @ and @ % in group ) .,tensor(1),4,conclusions,results,conclusions → results
214,One larynx in each group failed at < @ cycles .,tensor(1),4,conclusions,results,conclusions → results
215,"All three studies assessed day @ treatment success , defined as complete or partial clinical evidence of clear nail growth plus negative fungal culture .",tensor(1),4,conclusions,results,conclusions → results
216,"Application-site reactions of general irritation , erythema , scaling , and stinging/burning were most common with tavaborole @ % , were generally mild to moderate , and resolved with treatment discontinuation and/or a reduction in dosing frequency .",tensor(4),1,results,conclusions,results → conclusions
217,Tavaborole solution demonstrated favorable efficacy and safety in phase @ clinical studies .,tensor(4),2,results,methods,results → methods
218,The population PK analysis was performed by NONMEM .,tensor(2),4,methods,results,methods → results
219,A population PK model of rhTNFR - Fc was developed in Chinese patients with RA .,tensor(1),4,conclusions,results,conclusions → results
220,"In total , @ patients were assigned randomly to partial and total uncinectomy groups .",tensor(1),0,conclusions,background,conclusions → background
221,All patients completed the follow-up and were included in the analysis .,tensor(1),4,conclusions,results,conclusions → results
222,"This was an @-week , parallel-group , placebo-controlled trial undertaken at two universities affiliated psychiatric Hospitals in Iran .",tensor(2),4,methods,results,methods → results
223,"For general subscale scores , the main effect comparing two types of intervention was not significant -LSB- F ( @ , @ ) = @ , p = @ -RSB- .",tensor(2),4,methods,results,methods → results
224,"When analyzing the THI scores and VAS pre-rTMS and @ months after rTMS , significant decreases were observed in patients overall ( P < @ ) .",tensor(4),1,results,conclusions,results → conclusions
225,The ipsilateral group showed a more rapid improvement than the contralateral group .,tensor(0),1,background,conclusions,background → conclusions
226,Forty-two patients who underwent concha bullosa surgery ( a total of @ conchae surgeries ) were included in the study .,tensor(4),1,results,conclusions,results → conclusions
227,"There are no enough studies and research on the effect of vitamin B@ on the symptoms of PMS , therefore , this study was conducted to determine the effect of vitamin B@ on the symptoms of PMS in students residing at dormitories of Jahrom University of Medical Sciences in @ .",tensor(3),0,objective,background,objective → background
228,"The severity of the symptoms of PMS in two cycles , before the intervention and during the intervention , was recorded by the students .",tensor(3),0,objective,background,objective → background
229,"The data were collected using an information collection form , PMS provisional diagnosis form , daily status record form , Beck Depression Inventory .",tensor(0),2,background,methods,background → methods
230,The data were analyzed using descriptive and inferential statistics .,tensor(3),0,objective,background,objective → background
231,"Open , randomized , standard-of-care-controlled , multi-centre trial .",tensor(1),0,conclusions,background,conclusions → background
232,Charcot-Marie-Tooth ( CMT ) disease type @A is the most common form of CMT .,tensor(1),0,conclusions,background,conclusions → background
233,The selection of optimal second-line therapy that is often necessary due to the progressive nature of the disease is still a subject of ongoing discussions .,tensor(3),2,objective,methods,objective → methods
234,"A planimetrical analysis analyzed the digital image for the wound sizes and shape factor at baseline , at @ h , and days @ , @ , @ , @ , and @ , postoperatively .",tensor(3),2,objective,methods,objective → methods
235,"Eleven ( @ % ) of @ patients in the supraclavicular group versus @ ( @ % ) of @ in the infraclavicular group had complete hemidiaphragmatic paralysis ( P = @ -LSB- @-tailed -RSB- ; relative risk , @ -LSB- @ % confidence interval , @-@ @ -RSB- ) ; @ % versus @ % had any ( complete or partial ) paralysis ( P = @ ; relative risk , @ -LSB- @ % confidence interval , @-@ @ -RSB- ) .",tensor(3),0,objective,background,objective → background
236,"In a parallel group design , @ men ( @ @ y ) completed unilateral knee-extensor resistance exercise before the ingestion of @ g whey protein ( W@ ) ( @ g leucine ) , @ g whey protein ( W@ ) ( @ g leucine ) , @ g whey protein supplemented with leucine to @ g total leucine ( W@ + Low-Leu ) , @ g whey protein supplemented with leucine to @ g total leucine ( W@ + High-Leu ) , or @ g whey protein supplemented with leucine , isoleucine , and valine to @ g total leucine .",tensor(1),2,conclusions,methods,conclusions → methods
237,The aim of this study was to assess the efficacy of @ weeks of prucalopride treatment compared with placebo in men with chronic constipation .,tensor(4),2,results,methods,results → methods
238,People with prediabetes are at increased risk for developing type @ diabetes mellitus .,tensor(3),0,objective,background,objective → background
239,"Yet , weight loss varies among individuals and some people do not achieve clinically meaningful weight loss after treatment .",tensor(1),0,conclusions,background,conclusions → background
240,Weight change before and after the behavioral intervention among participants randomized to the experimental group was examined .,tensor(4),1,results,conclusions,results → conclusions
241,Mealtime insulin is commonly added to manage hyperglycemia in type @ diabetes when basal insulin is insufficient .,tensor(4),2,results,methods,results → methods
242,Weight decreased with exenatide and increased with lispro ( -@ vs. +@ kg ; P < @ ) .,tensor(4),1,results,conclusions,results → conclusions
243,The study sample was drawn from Gynecologic Oncology Group protocols @ and @ .,tensor(1),2,conclusions,methods,conclusions → methods
244,"In @ patients who were enrolled on Gynecologic Oncology Group @ ( fatigue not measured on @ ) , a worse PS predicted the development of grade @ or @ fatigue ( odds ratio , @ ; @ % confidence interval , @-@ @ ) .",tensor(3),0,objective,background,objective → background
245,Age and treatment regimen ( P < @ ) were associated with the development of grade @ or @ neutropenia .,tensor(3),0,objective,background,objective → background
246,Resistance data on virological failure and mutations in HIV infected populations initiating treatment in sub-Saharan Africa is sparse .,tensor(0),3,background,objective,background → objective
247,VL measurements were done at baseline and after @ and @ months .,tensor(1),4,conclusions,results,conclusions → results
248,Virological failure was observed among @ ( @ % ) participants out of @ patients .,tensor(0),2,background,methods,background → methods
249,Mirror therapy ( MT ) and electromyography-triggered neuromuscular stimulation ( ETMS ) are both effective treatments for impaired upper limbs following stroke .,tensor(4),2,results,methods,results → methods
250,The feasibility and possible effects of ETMS-MT upon upper extremity function were investigated in stroke patients .,tensor(2),0,methods,background,methods → background
251,The immediate ETMS-MT group showed significantly greater gain in FMA in the first @ weeks .,tensor(1),0,conclusions,background,conclusions → background
252,"However , this process is invasive with recognized side-effects .",tensor(0),3,background,objective,background → objective
253,Punch biopsies ( @mm ) were harvested from @ healthy volunteers .,tensor(4),2,results,methods,results → methods
254,MGV was significantly increased @weeks after wounding ( P = @ ) and may represent a novel measure of wound fibrosis .,tensor(0),3,background,objective,background → objective
255,"During intervention , subjects received an intravenous bolus of normal saline ( @ mL/kg body weight ) after sleep onset while they were wearing compression stockings to prevent fluid accumulation in the legs .",tensor(4),1,results,conclusions,results → conclusions
256,"Currently , the risk assessment for CIN progression to cervical cancer is still not satisfactory in clinical practice .",tensor(2),4,methods,results,methods → results
257,The combinations increased the specificity slightly but not sensitivity .,tensor(3),0,objective,background,objective → background
258,"Amplification and overexpression of TP@ and MYC , and HPV integration rate , are associated with the transition of CIN to cervical cancer .",tensor(3),0,objective,background,objective → background
259,FAQL scores remained static in the control group across the three time points .,tensor(3),0,objective,background,objective → background
260,"The oxygenation index recorded in the supine position was significantly higher in the intervention group than in the control group since day @ , whereas the positive end-expiratory pressure and fraction of inspired O@ were significantly lower in the intervention group .",tensor(0),3,background,objective,background → objective
261,"The intervention group had shorter length of ICU stay , fewer ventilation days and decreased @-day mortality than the control group .",tensor(4),2,results,methods,results → methods
262,The tracheotomy ratio and the time to successful extubation were similar in the two groups .,tensor(0),3,background,objective,background → objective
263,The effect of a low-flatulogenic test diet ( restricted to foodstuffs low in fermentable residues ; n = @ ) was compared to that of a balanced control diet ( Mediterranean type ; n = @ ) in @ patients complaining of flatulence and other abdominal symptoms using a randomized parallel design .,tensor(1),0,conclusions,background,conclusions → background
264,"The following outcomes were measured daily : number of anal gas evacuations by an event marker , severity of gas-related symptoms by @-@ scales , and sensation of digestive comfort by a -@ ( unpleasant ) to +@ ( pleasant ) scale .",tensor(1),4,conclusions,results,conclusions → results
265,Nicotine is a known analgesic .,tensor(1),4,conclusions,results,conclusions → results
266,Our primary aim was to test the hypothesis that intranasal nicotine administered intraoperatively reduces the need for postoperative opioids .,tensor(1),0,conclusions,background,conclusions → background
267,Nonsmoking female patients undergoing laparoscopic bariatric operations were randomized to receive either @ mg intranasal nicotine ( N = @ ) or placebo spray ( N = @ ) at the conclusion of surgery .,tensor(2),3,methods,objective,methods → objective
268,Postoperative opioid use converted to intravenous morphine equivalents ( iv MEQ ) and PONV rates were recorded during both the recovery room postanesthesia care unit ( PACU ) stay and the first @ postoperative hours .,tensor(4),2,results,methods,results → methods
269,"Compared to placebo , a higher percentage of patients administered nicotine received antiemetics in the PACU ( @ vs. @ % , P = @ ) .",tensor(4),2,results,methods,results → methods
270,"To better understand the feasibility of offering intranasal live attenuated influenza vaccines ( LAIV ) through schools , we assessed uptake , stakeholder acceptability , and cost of school-based delivery of LAIV compared to IIV .",tensor(4),2,results,methods,results → methods
271,Schools were randomized to having students receive IIV or LAIV at publicly-funded school-based clinics organized by the local public health department .,tensor(1),4,conclusions,results,conclusions → results
272,All interviewees cited unfamiliarity with LAIV and the study recruitment package length as potential reasons for low uptake .,tensor(4),2,results,methods,results → methods
273,The cost per vaccine dose administered was $ @ for IIV and $ @ for LAIV .,tensor(1),4,conclusions,results,conclusions → results
274,An intensive lifestyle intervention has long-term benefits for mobility function in overweight and obese middle-aged and older individuals with type @ diabetes .,tensor(3),0,objective,background,objective → background
275,"Although children vaccinated with heptavalent pneumococcal conjugate vaccine ( PCV ) had fewer episodes of acute otitis media ( AOM ) , this trial was unable to prove a simultaneous decrease in nasopharyngeal carriage .",tensor(4),1,results,conclusions,results → conclusions
276,"The possible impact of PCV on carriage is therefore of interest , particularly in children with recurrent AOM .",tensor(1),4,conclusions,results,conclusions → results
277,Patients were prospectively randomized to receive US-RA ( n = @ ) or GA ( n = @ ) for CEA .,tensor(1),4,conclusions,results,conclusions → results
278,"Creatinine kinase , troponin I , and N-terminal pro-B-type natriuretic peptide were analyzed to detect potential changes in cardiac biomarkers during the procedure .",tensor(4),2,results,methods,results → methods
279,"The Sun Exposure and Vitamin D Supplementation ( SEDS ) Study aims to compare the effectiveness of sun exposure and vitamin D supplementation for the management of vitamin D insufficiency , and to test whether these management strategies differentially affect markers of immune and cardio-metabolic function .",tensor(1),0,conclusions,background,conclusions → background
280,Patching of the operative eye is occasionally used in pediatric strabismus surgery .,tensor(1),0,conclusions,background,conclusions → background
281,We analyzed the perioperative behaviors of @ children with strabismus conducted from June @ to July @ in this prospective longitudinal study .,tensor(4),0,results,background,results → background
282,"Fitness improved more among intervention participants from pretest to posttest compared with the wait-list control ( @ mL/kg per minute , @ % confidence interval -LSB- CI -RSB- : @ to @ ; d = @ for group difference in pre-to-post change score ) .",tensor(1),4,conclusions,results,conclusions → results
283,"Intervention participants exhibited greater improvements from pretest to posttest in inhibition ( @ % , @ % CI : @ to @ ; d = @ ) and cognitive flexibility ( @ % , @ % CI : @ to @ ; d = @ for group difference in pre-to-post change score ) compared with control .",tensor(4),2,results,methods,results → methods
284,"Only the intervention group increased attentional resources from pretest to posttest during tasks requiring increased inhibition ( @ V , @ % CI : @ to @ ; d = @ ) and cognitive flexibility ( @ V , @ % CI : @ to @ ; d = @ ) .",tensor(0),3,background,objective,background → objective
285,One hundred and eighty-two patients were treated .,tensor(0),3,background,objective,background → objective
286,"The effect of daily administration of prasterone ( @ , @ mg , @ mg or @mg ) for @ weeks on FSD in @ postmenopausal women with or without MSD at baseline was evaluated in a prospective , randomized , double-blind , and placebo-controlled phase III clinical trial .",tensor(1),0,conclusions,background,conclusions → background
287,Malaria is responsible for majority of outpatient consultations in Nigeria at all levels of care .,tensor(0),1,background,conclusions,background → conclusions
288,An analysis of the supervisory checklist showed improvement in performance of healthcare workers with each supportive supervisory visit in most of the variables examined .,tensor(0),1,background,conclusions,background → conclusions
289,This study has demonstrated that supportive supervision is a feasible and practicable tool in improving knowledge and practice of malaria case management among PHC workers .,tensor(0),3,background,objective,background → objective
290,Little is known about the benefit of antiviral therapy for hepatitis B e antigen ( HBeAg ) - positive patients with high viral load and normal levels of alanine aminotransferase .,tensor(0),2,background,methods,background → methods
291,Accumulated evidences suggest that `` supportive supervision '' improves the quality of health care services .,tensor(4),1,results,conclusions,results → conclusions
292,"During @-@ , Govt .",tensor(0),3,background,objective,background → objective
293,We also directly observed @ ice lined refrigerator ( ILR ) points in both groups of districts .,tensor(3),0,objective,background,objective → background
294,The management practices at ILR points on key routine immunization components were found to have improved significantly in intervention districts .,tensor(1),0,conclusions,background,conclusions → background
295,The observed improvements in the ILR management practices indicate positive influence of supportive supervision .,tensor(4),2,results,methods,results → methods
296,The objective of this study was to compare the safety and efficacy of ETN + MTX versus a standard-of-care disease-modifying antirheumatic drug ( DMARD ) + MTX in Latin American subjects with moderate to severe active RA despite MTX therapy .,tensor(0),2,background,methods,background → methods
297,"More subjects achieved ACR@ at week @ with ETN + MTX versus DMARD + MTX ( @ % vs @ % , respectively ) , in addition to secondary end points ( P < @ for all ) ; mean change in modified total Sharp score was lower for the ETN + MTX group ( @ vs @ , respectively ; P = @ ) .",tensor(3),0,objective,background,objective → background
298,Pain was assessed over the following @ h.,tensor(4),1,results,conclusions,results → conclusions
299,Trastuzumab PK was best described by a two-compartment model with parallel linear and nonlinear ( Michaelis-Menten ) elimination from the central compartment .,tensor(1),0,conclusions,background,conclusions → background
300,"In the advanced gastric cancer population , trastuzumab PK was best described by a two-compartment model with parallel linear and nonlinear elimination .",tensor(3),2,objective,methods,objective → methods
301,"Students ' work environment expectations , their declining interest in a surgical career and the increasing need for surgeons represent challenges for surgical societies to address , in order to improve the attractiveness of surgery amongst students .",tensor(1),4,conclusions,results,conclusions → results
302,"Patients were assigned randomly to receive intravenous infusions of infliximab @ mg/kg at weeks @ , @ , @ , and @ plus daily oral placebo capsules ; oral azathioprine @ mg/kg daily plus placebo infusions on the infliximab schedule ; or combination therapy with the @ drugs .",tensor(3),2,objective,methods,objective → methods
303,"As perioperative fluid , only plasmalyte was used in the albumin-nonHES group whereas HES was used up to @ mL/kg in the albumin-HES and albumin-HES group .",tensor(4),2,results,methods,results → methods
304,"Patients ' characteristics and the duration of cardiopulmonary bypass ( albumin-HES ; @ min , HES-HES ; @ min , albumin-nonHES ; @ min ) were all similar among the groups .",tensor(2),4,methods,results,methods → results
305,"Also , inflammatory markers showed significant activation after cardiopulmonary bypass without any differences among the groups .",tensor(0),3,background,objective,background → objective
306,"Horses that received saline solution were administered APS at termination of the study , and clients scored horses for lameness and discomfort before , @ weeks after , and @ weeks after the APS injection .",tensor(3),0,objective,background,objective → background
307,"In the present study , we prospectively evaluated the potential underdiagnosis of OSA in several subspecialties from a tertiary cardiology university hospital .",tensor(3),0,objective,background,objective → background
308,"The mean age and body mass index ( BMI ) were @years and @ kg/m ( @ ) , respectively .",tensor(4),2,results,methods,results → methods
309,Five ECG methods were analysed for their ability to predict MRI infarct mass : ( @ ) summed STR across all infarct-related ECG leads ( STR ) ; ( @ ) STR in the single lead with maximum baseline ST-segment elevation ( maxSTR ) ; ( @ ) summed residual ST-segment elevation across all infarct-related leads at @ min post intervention ( ST residual ) ; ( @ ) maximum residual ST-segment elevation in the worst single lead at @ min post intervention ( maxST residual ) ; ( @ ) number of new significant Q-waves ( Qwave ) at @ min .,tensor(1),2,conclusions,methods,conclusions → methods
310,All ECG methods strongly correlated with @-day MRI infarct mass ( all p < @ ) .,tensor(0),3,background,objective,background → objective
311,"This prospective , randomized , controlled study tested the hypothesis that an invasive treatment strategy versus continued noninvasive treatment improves health-related quality of life after @ year in unselected patients with intermittent claudication .",tensor(1),4,conclusions,results,conclusions → results
312,"Primary end point was health-related quality of life after @ year , assessed with Medical Outcomes Study Short Form @ version @ and Vascular Quality of Life Questionnaire , and secondary end points included walking distances on a graded treadmill .",tensor(3),0,objective,background,objective → background
313,Long-term follow-up data and health-economic assessments are warranted to further establish the role for revascularization in intermittent claudication .,tensor(1),4,conclusions,results,conclusions → results
314,Mean birthweight was @ g ( SD @ ) in the induction group and @ g ( @ ) in the expectant group .,tensor(1),4,conclusions,results,conclusions → results
315,Induction of labour for suspected large-for-date fetuses is associated with a reduced risk of shoulder dystocia and associated morbidity compared with expectant management .,tensor(0),2,background,methods,background → methods
316,Induction of labour does not increase the risk of caesarean delivery and improves the likelihood of spontaneous vaginal delivery .,tensor(2),4,methods,results,methods → results
317,Elevated concentrations of doxorubicin are found in eccrine sweat glands of the palms and soles .,tensor(0),1,background,conclusions,background → conclusions
318,"Among the patients receiving tofacitinib , @ % in the @-mg group and @ % in the @-mg group had an ACR @ response at month @ , as compared with @ % of patients in the methotrexate group ( P < @ for both comparisons ) .",tensor(4),1,results,conclusions,results → conclusions
319,Participants were community-dwelling adults aged @ years or over with DSM-IV-TR major depression .,tensor(3),0,objective,background,objective → background
320,"Results In total , @ people were randomised ( @ placebo , @ vitamins ) .",tensor(0),1,background,conclusions,background → conclusions
321,"Remission of symptoms was achieved by @ and @ % of participants treated with placebo and vitamins by week @ ( P = @ ) , by @ and @ % at week @ and @ and @ % at week @ ( effect of intervention over @ weeks : odds ratio ( OR ) = @ , @ % CI @-@ @ ) .",tensor(2),4,methods,results,methods → results
322,Replication of these findings would mandate that treatment guidelines adopt the adjunctive use of B vitamins as a safe and inexpensive strategy to manage major depression in middle-aged and older adults .,tensor(2),4,methods,results,methods → results
323,"TD patients had greater mean overall motor improvement , measured by UPDRS-III , after GPi DBS , compared to STN DBS ( @ vs @ , p = @ ) , with improvement in gait accounting for this difference .",tensor(1),4,conclusions,results,conclusions → results
324,PIGD patients obtained less overall benefit from stimulation .,tensor(3),0,objective,background,objective → background
325,Addition of hyaluronic acid to ultrasound-guided injections of steroids to treat DQD seems to improve the outcome and to reduce the recurrence rate .,tensor(0),1,background,conclusions,background → conclusions
326,"Older individuals often have a reduced immune response to influenza vaccination , which might be improved by administering a higher vaccine dose .",tensor(1),4,conclusions,results,conclusions → results
327,"Haemagglutination inhibition antibody geometric mean titres were @ ( @ % CI @ to @ ) for @xH@N@-AS , @ ( @ % CI @ to @ ) for @xH@N@-AS , @ ( @ % CI @ to @ ) for @xH@N@ and @ ( @ % CI @ to @ ) for @xH@N@ .",tensor(1),0,conclusions,background,conclusions → background
328,"The median frequency of antigen-specific CD@ + T cells per @ T cells ( @th quartile ; @th quartile ) was @ ( @ ; @ ) for @xH@N@-AS , @ ( @ ; @ ) for @xH@N@-AS , @ ( @ ; @ ) for @x-H@N@ and @ ( @ ; @ ) for @xH@N@ .",tensor(4),2,results,methods,results → methods
329,Antibody levels declined substantially in all groups .,tensor(4),0,results,background,results → background
330,No safety concern was observed up to @ months post-primary vaccination .,tensor(1),4,conclusions,results,conclusions → results
331,"However , uptake of treatment among school-age children in Uganda is low in some areas .",tensor(1),0,conclusions,background,conclusions → background
332,The occurrence of side effects and the prevalence and mean intensity of Schistosoma mansoni infection were determined as the secondary outcomes .,tensor(0),2,background,methods,background → methods
333,"Prevalence and mean intensity of S. mansoni infection was lower in the snack schools , @ % ( @ % CI @ % -@ % ) and @ eggs per gram of stool ( epg ) ( @ % CI @-@ @ ) , compared to that in the non-snack schools , @ % ( @ % CI @ % -@ % ) ( p = @ ) and @ epg ( @ % CI @-@ @ ) ( p = @ ) , respectively .",tensor(0),3,background,objective,background → objective
334,The tradeoff between stent thrombosis ( ST ) and major bleeding ( MB ) of @ - versus @-month dual antiplatelet therapy ( DAPT ) after coronary stent implantation has not been clearly defined .,tensor(2),0,methods,background,methods → background
335,Abnormal coagulation profiles and inpatient access of ports after placement could be additional risk factors .,tensor(3),0,objective,background,objective → background
336,The aim of this study was to determine the effects of education provided by nurses on the QOL in patients with CHF in home-visit care compared to usual care .,tensor(3),0,objective,background,objective → background
337,QOL was decreased in group I and increased in group II compared to the time of hospital discharge .,tensor(1),4,conclusions,results,conclusions → results
338,Short message service ( SMS ) has been suggested as an effective method to improve adherence to medical therapy in some chronic diseases .,tensor(0),3,background,objective,background → objective
339,"All parents , clinical staff , and outcome assessors were masked to allocation .",tensor(0),2,background,methods,background → methods
340,"Participants had type @ diabetes , were taking stable doses of medications , had HbA@c levels between @ % and less than @ % , and untreated chronic periodontitis .",tensor(4),1,results,conclusions,results → conclusions
341,The control group ( n = @ ) received no treatment for @ months .,tensor(4),2,results,methods,results → methods
342,"Periodontal measures improved in the treatment group compared with the control group at @ months , with adjusted between-group differences of @ mm ( @ % CI , @ to @ ) for probing depth , @ mm ( @ % CI , @ to @ ) for clinical attachment loss , @ % ( @ % CI , @ % to @ % ) for bleeding on probing , and @ ( @ % CI , @ to @ ) for gingival index ( P < @ for all ) .",tensor(2),4,methods,results,methods → results
343,The @ subjects were recruited from five general outpatient clinics .,tensor(1),0,conclusions,background,conclusions → background
344,Exercise group practiced breathing and walking as an exercise .,tensor(3),0,objective,background,objective → background
345,Significant decreased in the number of exacerbations was observed in the Tai chi Qigong group .,tensor(1),0,conclusions,background,conclusions → background
346,"The current study reports the results of the secondary objective , which was to increase the understanding of possible mechanisms underlying such neck pain and its intervention-related relief .",tensor(1),4,conclusions,results,conclusions → results
347,"Postural control was tested in four different settings : Romberg with open and closed eyes , unilateral stance , and perturbation .",tensor(4),1,results,conclusions,results → conclusions
348,"Impaired postural control and steadiness may only be quantifiable in individuals experiencing acute neck pain of certain intensity , and there may be a ceiling effect in the ability to improve these parameters .",tensor(0),1,background,conclusions,background → conclusions
349,"The Veterans Victory Over Tobacco Study , a pragmatic randomized clinical trial involving a population-based registry of current smokers aged @ to @ years .",tensor(4),2,results,methods,results → methods
350,Current smokers were randomized to usual care or proactive care .,tensor(4),1,results,conclusions,results → conclusions
351,The primary outcome was @-month prolonged smoking abstinence at @ year and was assessed by a follow-up survey among all current smokers regardless of interest in quitting or treatment utilization .,tensor(3),1,objective,conclusions,objective → conclusions
352,"Logistic regression mixed model analysis showed a significant effect of the proactive care intervention on @-month prolonged abstinence ( odds ratio -LSB- OR -RSB- , @ -LSB- @ % CI , @-@ @ -RSB- ) .",tensor(0),3,background,objective,background → objective
353,Exercisers participated in group exercise classes twice a week for @ months and once a week for the subsequent @ months and home exercises .,tensor(2),0,methods,background,methods → background
354,The sample of @ participants with gambling data between ages @-@ and parental monitoring data between ages @-@ were predominantly African American and received subsidized lunches at age @ .,tensor(4),2,results,methods,results → methods
355,The Parental Monitoring Subscale of the Structured Interview of Parent Management Skills and Practices-Youth Version collected self-reports on annual parental monitoring between ages @-@ .,tensor(3),0,objective,background,objective → background
356,Complication was more severe for MID .,tensor(1),4,conclusions,results,conclusions → results
357,All patients were advised to taper/discontinue their NSAID intake during the treatment period .,tensor(2),1,methods,conclusions,methods → conclusions
358,The effect of antimicrobial treatment on the duration of middle ear effusion ( MEE ) and concomitant hearing impairment is not known .,tensor(4),2,results,methods,results → methods
359,"On day @ , @ children ( @ % ) in the antimicrobial group and @ children ( @ % ) in the placebo group had persistent MEE ( P = @ ) .",tensor(1),4,conclusions,results,conclusions → results
360,"Although the analgesic effects of corticosteroids have been well documented , little information is available on periarticular injection ( PI ) containing corticosteroids for early postoperative pain management after total knee arthroplasty ( TKA ) .",tensor(0),3,background,objective,background → objective
361,"Most affected in articulation were the oral or oropharyngeal cancer sites , followed by the nasal or nasopharyngeal sites .",tensor(2),4,methods,results,methods → results
362,"At baseline , there were no significant differences in laboratory studies between the two groups .",tensor(3),0,objective,background,objective → background
363,Primary endpoints are the number of newly detected patients with CMD and changes in individual risk factors between the intervention and waiting list control group .,tensor(0),3,background,objective,background → objective
364,"To investigate whether different study-to-participant communication methods increase response , increase response from hard-to-engage individuals , and influence participants ' consent decisions .",tensor(3),0,objective,background,objective → background
365,"Participants were randomized to receive one of eight combinations of three interventions : a prior-notification postcard or no contact , a standard or professionally designed consent pack , and a phone or postal reminder .",tensor(4),1,results,conclusions,results → conclusions
366,"Of @,@ participants , @ ( @ % ) responded .",tensor(2),4,methods,results,methods → results
